属性集名称,参数类型,IFC构件,Revit类别,属性名称,IFC属性类型,Revit参数类型,默认值,真实数据
Pset_申报信息属性集,I,IfcProject,项目信息,基点坐标X,IfcReal,Length,0,0
Pset_申报信息属性集,I,IfcProject,项目信息,基点坐标Y,IfcReal,Length,0,0
Pset_道路边界线信息属性集,I,IfcSite,场地,区内道路类型,IfcLabel,Text,其他,
Pset_道路边界线信息属性集,I,IfcSite,场地,道路宽度,IfcReal,Length,0,
Pset_消防回车场信息属性集,I,IfcSite,场地,投影面积,IfcReal,Area,0,
Pset_消防回车场信息属性集,I,IfcSite,场地,名称,IfcLabel,Text,其他,
Pset_绿地信息属性集,I,IfcSite,场地,类型,IfcLabel,Text,其他,
Pset_绿地信息属性集,I,IfcSite,场地,投影面积,IfcReal,Area,0,
Pset_绿地信息属性集,I,IfcSite,场地,绿地类型,IfcLabel,Text,其他,
Pset_绿地信息属性集,I,IfcSite,场地,折算系数,IfcReal,Number,0,
Pset_规划净用地信息属性集,I,IfcSite,场地,类型,IfcLabel,Text,其他,
Pset_规划净用地信息属性集,I,IfcSite,场地,投影面积,IfcReal,Area,0,
Pset_规划净用地信息属性集,I,IfcSite,场地,名称,IfcText,Text,其他,
Pset_规划净用地信息属性集,I,IfcSite,场地,版本,IfcText,Text,其他,
Pset_规划总用地信息属性集,I,IfcSite,场地,类型,IfcLabel,Text,其他,
Pset_规划总用地信息属性集,I,IfcSite,场地,投影面积,IfcReal,Area,0,
Pset_规划总用地信息属性集,I,IfcSite,场地,名称,IfcText,Text,其他,
Pset_停车场信息属性集,I,IfcSpatialZone,面积,机动车位数量,IfcInteger,Integer,0,
Pset_停车场信息属性集,I,IfcSpatialZone,面积,非机动车位数量,IfcInteger,Integer,0,
Pset_停车场信息属性集,I,IfcSpatialZone,面积,无障碍车位数量,IfcInteger,Integer,0,
Pset_停车场信息属性集,I,IfcSpatialZone,面积,投影面积,IfcReal,Area,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,长度,IfcReal,Length,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,宽度,IfcReal,Length,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,总用地面积,IfcReal,Area,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,可建设用地面积,IfcReal,Area,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,建筑密度,IfcReal,Number,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,建筑比例,IfcReal,Number,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,混合用地比例,IfcReal,Number,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,容积率,IfcReal,Number,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,绿地率,IfcReal,Number,0,
Pset_场地信息属性集,I,IfcBuilding,项目信息,地块编号,IfcLabel,Text,其他,
Pset_场地信息属性集,I,IfcBuilding,项目信息,城市用地分类和使用,IfcText,Text,其他,
